"Alumno","Indicador 22"
"191.2405.028","3.56"
"171.2405.003","3.16"
"191.0804.017","3.14"
"151.0505.017","2.81"
"121.0904.392","2.3"
"191.1006.022","3.26"
"211.0606.046","1.64"
"171.2503.038","2.39"
"132.2603.424","2.79"
"211.2806.024","1.05"
"161.0103.227","3.01"
"171.1306.041","3.4"
"181.1306.042","3.19"
"211.1306.050","1.62"
"161.1604.305","3.57"
"151.0103.513","1.43"
"181.0906.056","2.31"
"03.0643.8.A6","2.25"
"171.1106.022","3.53"
"171.1306.059","3.44"
"191.1205.050","2.73"
"131.1803.630","2.49"
"211.3402.016","1.71"
"211.1606.079","1.87"
"211.3602.068","1.63"
"161.0904.793","2.22"
"052.0402.249","1.86"
"151.0605.701","1.48"
"171.3402.018","3.27"
"171.2405.008","3.02"
"072.1212.117","2.19"
"05.1116.8.EH","1.41"
"141.0802.479","2.25"
"181.0906.053","3.33"
"191.1306.046","3.77"
"191.1405.023","2.95"
"181.1306.061","3.08"
"181.2405.022","3.49"
"181.1606.019","3.83"
"211.2503.069","0.82"
"211.3602.042","0.98"
"111.0304.341","2.11"
"141.0204.529","2.84"
"171.1306.022","3.36"
"221.1607.041","2.91"
"201.2503.023","2.44"
"211.3602.036","1.21"
"171.0804.060","2.96"
"201.0804.037","2.2"
"191.0906.080","2.21"
"201.1606.029","2.63"
"181.2405.053","3.4"
"161.2502.066","3.03"
"171.1606.025","3.22"
"211.1606.074","1.7"
"211.0105.038","2"
"161.0704.575","2.6"
"181.1906.053","3.7"
"171.1606.051","3.56"
"171.2405.041","3.28"
"081.0704.543","2.06"
"151.0605.711","2.64"
"171.0906.003","2.49"
"171.1106.006","3.67"
"191.1106.020","3.92"
"191.0306.001","2.52"
"191.0706.016","1.7"
"171.0606.056","2.38"
"132.2103.413","2.24"
"211.0306.040","1.52"
"211.2806.042","1.85"
"151.1503.473","3.49"
"161.1604.840","3.2"
"131.2901.652","2.19"
"211.1006.026","1.89"
"171.0306.032","2.41"
"211.0706.050","1.48"
"181.1505.054","3.08"
"201.1606.005","3"
"121.0704.032","2.37"
"171.0804.083","2.8"
"181.1006.001","3.57"
"181.1205.065","3.1"
"181.1906.040","3.83"
"201.1906.010","2.85"
"191.2904.021","3.76"
"161.1004.625","3.07"
"201.1205.002","2.58"
"191.2806.046","3.01"
"171.0306.034","2.58"
"132.2103.415","2.37"
"171.3402.036","3.2"
"171.0804.026","1.34"
"161.1604.846","3.23"
"171.2904.017","2.95"
"171.0405.006","3.56"
"171.0804.030","2.76"
"211.1106.022","2"
"171.1405.057","3.04"
"171.1906.012","3.89"
"181.0506.045","3.22"
"171.0506.052","2.88"
"132.1304.175","2.32"
"191.1405.066","2.55"
"181.1006.030","3.69"
"171.1205.021","2.95"
"181.2503.056","3.15"
"191.2503.014","3.02"
"181.3602.038","2.74"
"191.0606.016","3.55"
"062.0721.206","1.17"
"181.1006.044","3.63"
"082.1203.161","1.73"
"191.1505.015","3.07"
"191.0606.064","3.09"
"191.1106.034","2.66"
"191.1106.001","4.18"
"181.1306.023","3.67"
"201.0706.001","2.3"
"191.1006.017","2.86"
"211.1505.019","1.88"
"181.1606.061","3.52"
"161.0204.343","2.73"
"191.0906.086","2.02"
"171.0906.022","2.98"
"171.1106.001","3.76"
"171.1006.014","3.19"
"181.1106.028","3.72"
"161.3502.958","3.18"
"171.1606.062","3.53"
"191.1606.026","3.91"
"181.1306.083","1.58"
"131.1304.313","2.46"
"191.0306.083","1.95"
"121.0704.041","1.29"
"181.1205.021","3.51"
"191.1205.083","3.26"
"171.0405.016","3.04"
"161.0505.018","2.46"
"161.2903.912","3.08"
"211.1606.084","1.89"
"171.2405.037","3.08"
"211.0804.017","1.57"
"122.0103.324","1.56"
"161.1503.194","3.51"
"181.2405.001","3.41"
"191.0906.024","1.87"
"161.1104.108","3.56"
"171.1306.049","3.05"
"211.0606.030","1.51"
"191.1205.040","3.17"
"211.1906.029","1.24"
"211.1906.031","1.75"
"201.2806.009","2.79"
"151.0103.177","2.72"
"101.0103.364","2.55"
"191.0105.034","2.95"
"171.1306.075","3.28"
"181.1006.037","3.07"
"211.1505.074","1.42"
"181.1505.021","3.17"
"211.2806.052","1.74"
"181.2904.035","3.84"
"151.0802.229","2.32"
"071.0709.354","1.51"
"201.1906.019","3.09"
"201.3602.025","2.01"
"211.2503.034","1.79"
"181.1306.060","3.4"
"181.1505.079","3.27"
"211.3602.007","2.08"
"211.0105.033","1.68"
"211.0804.077","1.63"
"191.0706.037","2.64"
"181.2405.041","3.56"
"201.2806.004","2.88"
"211.3602.077","0.93"
"201.3602.014","2.57"
"211.2503.035","2.27"
"191.0606.034","2.21"
"171.0804.019","2.54"
"211.1006.032","1.86"
"111.1004.166","2.53"
"171.1606.041","3.45"
"181.1606.008","4.02"
"211.1306.090","1.76"
"161.2903.388","2.89"
"171.1306.043","3.38"
"161.3601.448","3.18"
"191.1106.039","3.9"
"201.1306.035","2.64"
"191.0306.037","2.88"
"201.2806.013","2.97"
"211.1306.021","1.62"
"191.1405.027","1.92"
"191.0405.045","3.5"
"171.0906.054","2.94"
"141.1203.213","2.35"
"181.1505.044","3.42"
"211.2405.023","1.93"
"151.2805.567","2.83"
"191.3402.015","3.69"
"181.0906.063","2.95"
"98.0685.5.AR","1.98"
"191.1205.088","3.29"
"191.1505.064","0"
"181.1606.050","3.7"
"211.0506.018","1.36"
"181.1606.014","3.91"
"191.2503.027","3.29"
"191.0206.039","3.14"
"171.0606.066","2.75"
"141.0704.057","2.41"
"191.0906.065","2.24"
"171.0906.026","2.82"
"191.1306.031","3.5"
"191.1906.034","3.53"
"191.0606.073","2.77"
"171.0706.098","2.83"
"191.1405.029","1.46"
"181.1306.067","3.43"
"181.2503.066","2.46"
"161.3502.963","3.15"
"191.0306.085","2.62"
"191.1606.061","3.88"
"05.1154.N.AL","2.46"
"191.0804.077","3.25"
"201.1906.017","2.51"
"171.0606.061","2.67"
"161.1304.176","2.89"
"171.0706.067","2.8"
"171.1205.011","3.09"
"191.1306.080","3.15"
"171.1505.030","3.3"
"201.3402.039","2.41"
"081.1604.182","1.59"
"111.0304.340","1.52"
"191.1205.021","3.47"
"181.2405.046","3.6"
"181.2503.061","3.22"
"191.0906.073","2.7"
"211.0906.040","1.51"
"181.1306.013","3.73"
"191.1205.059","1.75"
"191.1405.089","2.94"
"191.0306.059","2.73"
"171.1205.006","1.95"
"191.1205.013","2.15"
"181.2806.021","3.27"
"201.3602.028","1.75"
"171.0506.046","2.98"
"211.0804.054","1.63"
"191.1306.037","3.58"
"191.1505.043","3.6"
"201.1505.012","2.3"
"161.0605.551","3.09"
"181.3503.064","3.16"
"181.0506.034","2.41"
"191.0606.006","2.46"
"171.1306.037","3.1"
"201.1505.015","2.43"
"171.1306.012","2.14"
"151.1403.098","2.79"
"191.1205.090","3.37"
"161.1604.841","3.69"
"191.3602.009","2.02"
"171.0804.021","3.09"
"171.0906.045","2.73"
"131.1203.237","2.33"
"181.2806.026","3.25"
"211.3503.001","1.63"
"191.2904.025","3.69"
"181.3503.027","3.09"
"151.0304.475","2.5"
"151.0103.198","3.15"
"171.1006.045","3.1"
"181.2904.018","3.47"
"161.0204.869","2.94"
"161.0802.822","2.58"
"191.0306.048","2.46"
"181.1205.027","2.37"
"211.2806.014","1"
"181.3602.048","2.63"
"181.0606.052","2.92"
"171.0804.099","3.11"
"211.0306.012","1.55"
"171.1205.071","2.67"
"201.1505.041","2.43"
"171.2503.054","3.05"
"191.1606.068","3.77"
